Flow,Occupancy,Speed
288.0,0.0054,69.1
84.0,0.0016,69.8
132.0,0.0027,69.4
204.0,0.0039,68.0
444.0,0.0088,68.7
600.0,0.012,69.8
576.0,0.0121,69.2
504.0,0.0107,69.2
576.0,0.012,68.8
588.0,0.0117,69.2
768.0,0.0145,69.1
744.0,0.0152,69.7
528.0,0.0113,68.9
624.0,0.0137,68.2
564.0,0.0112,68.9
516.0,0.0102,69.8
576.0,0.0117,69.9
492.0,0.0104,68.4
408.0,0.0084,68.3
456.0,0.0091,69.6
432.0,0.0087,69.2
384.0,0.0077,69.3
432.0,0.0084,68.7
360.0,0.006999999999999999,69.8
600.0,0.0122,68.7
348.0,0.0068,68.7
336.0,0.0066,69.7
372.0,0.0072,69.4
396.0,0.0082,68.8
360.0,0.0072,69.0
276.0,0.0056,69.8
312.0,0.006,69.5
156.0,0.0031,69.5
192.0,0.0037,70.2
264.0,0.0054,68.8
276.0,0.0058,69.9
168.0,0.0037,69.5
132.0,0.0028,69.2
144.0,0.0031,68.6
180.0,0.0036,68.8
144.0,0.003,69.1
144.0,0.0031,68.6
252.0,0.0052,69.3
204.0,0.0046,69.0
96.0,0.0023,67.1
108.0,0.003,69.1
180.0,0.0034,69.9
120.0,0.0029,70.0
132.0,0.0028,69.1
156.0,0.0032,69.2
144.0,0.0031,69.9
168.0,0.0035,69.0
144.0,0.0028,70.2
144.0,0.003,69.4
132.0,0.0028,70.2
204.0,0.0039,70.1
96.0,0.0022,69.1
216.0,0.0041,69.5
216.0,0.0041,70.1
204.0,0.004,69.8
144.0,0.0025,70.4
156.0,0.003,70.5
144.0,0.0025,69.9
276.0,0.0053,69.6
288.0,0.0055,69.2
228.0,0.0044,69.5
336.0,0.0066,69.8
240.0,0.0058,69.8
288.0,0.0055,69.9
312.0,0.006,69.4
324.0,0.0064,69.2
180.0,0.0036,69.0
372.0,0.0072,69.2
432.0,0.0086,69.1
504.0,0.0099,68.5
420.0,0.0083,68.4
480.0,0.01,69.1
564.0,0.0104,70.1
588.0,0.0115,69.2
576.0,0.0107,69.3
372.0,0.0075,69.6
372.0,0.0069,70.3
156.0,0.0031,70.1
360.0,0.006999999999999999,69.4
228.0,0.0046,69.9
252.0,0.0049,68.9
204.0,0.0046,68.3
384.0,0.0082,68.9
156.0,0.0038,67.4
228.0,0.0043,68.6
360.0,0.0069,69.3
456.0,0.0088,69.0
348.0,0.0066,69.4
204.0,0.004,69.1
384.0,0.006999999999999999,70.3
264.0,0.005,70.3
324.0,0.0065,69.8
348.0,0.0068,68.8
324.0,0.0063,69.1
348.0,0.0064,69.6
360.0,0.006999999999999999,69.3
360.0,0.0067,68.7
408.0,0.0081,69.6
288.0,0.0057,68.5
384.0,0.0074,68.8
228.0,0.0042,69.4
264.0,0.0052,69.3
408.0,0.0082,68.8
348.0,0.0068,70.0
336.0,0.0067,68.9
336.0,0.0064,69.6
576.0,0.0106,69.6
600.0,0.012,69.3
432.0,0.0085,69.4
504.0,0.0095,69.4
456.0,0.0093,69.3
408.0,0.0074,69.6
804.0,0.0151,69.8
624.0,0.011000000000000001,70.5
516.0,0.0089,69.7
504.0,0.0099,70.3
672.0,0.0131,68.9
